[point]
0		0		0
1		0		150
2		0		300
3		0		450
4		0		600
5		0		750
6		150		0
7		150		150
8		150		300
9		150		450
10		150		600
11		150		750
12		300		0
13		300		150
14		300		300
15		300		450
16		300		600
17		300		750
18		450		0
19		450		150
20		450		300
21		450		450
22		450		600
23		450		750
24		600		0
25		600		150
26		600		300
27		600		450
28		600		600
29		600		750
30		750		0
31		750		150
32		750		300
33		750		450
34		750		600
35		750		750
[line]
0		0		1
1		0		6
2		1		2
3		1		7
4		2		3
5		2		8
6		3		4
7		3		9
8		4		5
9		4		10
10		6		7
11		6		12
12		7		8
13		7		13
14		8		9
15		8		14
16		9		10
17		9		15
18		10		11
19		10		16
20		12		13
21		12		18
22		13		14
23		13		19
24		14		15
25		14		20
26		15		16
27		15		21
28		16		17
29		16		22
30		18		19
31		18		24
32		19		20
33		19		25
34		20		21
35		20		26
36		21		22
37		21		27
38		22		23
39		22		28
40		24		25
41		24		30
42		25		26
43		25		31
44		26		27
45		26		32
46		27		28
47		27		33
48		28		29
49		28		34
50		30		31
51		5		11
52		31		32
53		11		17
54		32		33
55		17		23
56		33		34
57		23		29
58		34		35
59		29		35
